client_id,name,birthday,city
f54c11c1-a696-4c45-9ffa-9a2c1e702cb3,Клиент 0,1991-02-04,Новосибирск
fda8a72b-0d3e-4a40-85c6-9137d7d86ba0,Клиент 1,1980-11-18,Новосибирск
6a7f3add-e606-4442-8fb4-e6d0f1fb5096,Клиент 2,2002-02-17,Рязань
77ba80e0-24ae-4de7-9e35-39c34f58dbaa,Клиент 3,1984-11-10,Москва
2e17807d-f5b8-40d0-86e7-83650f1e676f,Клиент 4,1998-03-20,Новосибирск
0fb7f7c5-d239-429b-b402-1bec6aa72b2d,Клиент 5,2009-09-19,Москва
c95a8db2-1ef2-48a7-8357-0eee018d636c,Клиент 6,1962-09-08,Рязань
ba596613-2837-4f10-b401-ddc1638ef6c3,Клиент 7,1998-07-30,Рязань
caa30c78-aa6a-4382-8d21-188952c4083b,Клиент 8,1969-09-06,Новосибирск
4512f211-9c1b-4b27-b4b4-5df451cc6066,Клиент 9,2008-08-02,Санкт-Петербург
a4e6cd52-023f-4994-b6c2-d889aea4dd34,Клиент 10,1955-10-03,Новосибирск
cf8abd58-0113-409a-b3ec-579cef6e046d,Клиент 11,2010-04-11,Рязань
ddb826b1-a18c-4a95-ad54-fd2c779d5df3,Клиент 12,1997-09-23,Москва
293223d7-ce1d-4963-9749-c097e2440abf,Клиент 13,1961-11-20,Рязань
66323dee-d8fc-4b07-a07e-93dc31a3425c,Клиент 14,1989-11-30,Новосибирск
cfd9538b-14c5-4324-b26c-b1c3e05a2a92,Клиент 15,2005-01-02,Рязань
c84a18f7-171a-4dfd-8f50-c61bca9f805c,Клиент 16,2006-09-30,Новосибирск
5d45cdf1-4e3b-443b-8495-ca498ed8bc3c,Клиент 17,2003-07-24,Омск
72634e02-e4ec-46f4-a542-7c8712f219f8,Клиент 18,1966-05-25,Санкт-Петербург
b88d78ab-90f2-4401-bd9d-6f57a8eca5c3,Клиент 19,1976-03-08,Москва
763531f3-1b43-4a55-ab3a-80b05320b7c3,Клиент 20,1978-12-09,Рязань
3f95cb87-c246-42eb-98d8-c398e4d07a62,Клиент 21,1972-05-12,Новосибирск
3fb4e004-de74-4ce3-9180-90e1788f7dfb,Клиент 22,1996-07-09,Москва
2dda0e1a-69fc-4894-ae3e-83e4081526ac,Клиент 23,1983-10-22,Новосибирск
4e666f67-ebc4-4d8a-9132-3c183c729ccc,Клиент 24,2006-04-20,Рязань
19f43080-29a9-446d-93d2-c85600f5fc4f,Клиент 25,2003-08-16,Омск
a216b9bf-45d6-4c67-a1c8-bf5688a8a6fc,Клиент 26,1976-05-10,Рязань
adc33787-36b2-406e-aca0-7bef6436120b,Клиент 27,1960-07-07,Омск
ad84dff0-e508-418f-a979-f8ab512d7d8b,Клиент 28,1999-07-01,Рязань
d66e24bb-0415-438a-bfdf-5c3d993bb48a,Клиент 29,1966-08-06,Омск
c57a7ad9-26c4-4be0-b857-7ec1c3ba47c6,Клиент 30,1966-11-10,Рязань
216d9c79-b849-4826-ba8f-9711ba0fcefa,Клиент 31,1955-06-22,Рязань
7d794c88-a26e-42a4-95ce-96868208d95a,Клиент 32,1957-05-23,Омск
1d35f8c6-40b9-4e0c-9355-4150182a3991,Клиент 33,2004-05-05,Омск
bc6cd679-a1c3-4002-89f0-9d3f77725b1b,Клиент 34,1954-12-26,Новосибирск
3f5d2ddb-394a-4dc0-8ee6-6fd757084638,Клиент 35,2007-09-06,Омск
d2fdd32e-6735-4125-bf84-3534d0b46dd1,Клиент 36,1957-11-17,Новосибирск
a4c0cac6-c545-4305-b420-a425fba9bce7,Клиент 37,1963-02-06,Москва
6e9f3596-24ff-424c-bd77-82d8a9aa0ddc,Клиент 38,1952-01-25,Санкт-Петербург
7ac66cf7-d489-45a7-bf92-2d8d0eccf9cf,Клиент 39,1961-05-21,Санкт-Петербург
62c7bb24-ebc3-4de0-b965-2e0ca78ae3fd,Клиент 40,1969-09-10,Новосибирск
4e1fd602-c679-438f-b2c5-b359d7d1e58b,Клиент 41,2000-12-06,Рязань
7e02d3e9-24c5-4c6a-aeb0-2d27cd681d7c,Клиент 42,1975-09-23,Санкт-Петербург
5cfd7dd7-44f3-45ac-9dbe-9519450b107f,Клиент 43,1960-07-06,Рязань
b589fbac-5841-4a78-a8c0-d70dc041200d,Клиент 44,2005-08-18,Рязань
bc8ed658-2b87-4abf-832e-f047088492bd,Клиент 45,1982-08-10,Омск
86f52483-c6ca-4832-9adb-d838c21bf8ca,Клиент 46,2010-06-20,Омск
7ff29597-ea8a-4d1e-b775-4f459e2f2ad9,Клиент 47,1960-03-08,Рязань
3c22aa6b-5f58-4c99-a6b0-6d240b5b6374,Клиент 48,1972-01-26,Новосибирск
926c400e-e774-4e19-972b-c35c5e3cbfb0,Клиент 49,1979-03-18,Москва
815fbf47-4a93-4bd1-8165-4d59a9945990,Клиент 50,1995-01-25,Новосибирск
ab313ab0-dd5d-4eaa-a3f7-06df35ddb1d5,Клиент 51,1963-06-11,Москва
b16a7054-5b4b-4adb-83af-ad6dd132c28f,Клиент 52,1973-01-19,Рязань
77aab275-1898-409d-8138-71a760fd60d6,Клиент 53,2009-05-22,Москва
9ced20f2-f69e-4f4e-8305-249c2eb111cd,Клиент 54,1953-04-03,Санкт-Петербург
575eab93-45c1-4327-b57b-ad359da78ac5,Клиент 55,1959-10-09,Рязань
314ed1d0-b8a0-4c9b-84e0-1d66d678db68,Клиент 56,1958-03-14,Москва
474ffbab-5bed-4667-951c-c7d09e1b0acf,Клиент 57,1986-12-20,Новосибирск
b5d19d0e-b107-44bf-885f-9161dff0d01a,Клиент 58,1987-01-12,Москва
12f1803f-28d6-40d2-bb08-443fcf71a6bd,Клиент 59,1976-08-24,Москва
bdeaefcc-7ac9-4e32-9de1-05ea68f361f2,Клиент 60,1993-03-10,Санкт-Петербург
5756bdb5-b700-43e6-8b6c-dfb7e35bf786,Клиент 61,1976-05-13,Омск
dc33f6e5-41a4-41f1-9d2a-c80eb625d03f,Клиент 62,1999-10-22,Москва
d84c1eb1-f5e9-41c8-9c8d-4d27c137721c,Клиент 63,1985-04-08,Новосибирск
62612b69-051a-4e9c-9570-5b0aea82bb2d,Клиент 64,1959-03-29,Новосибирск
7b807838-eeeb-4f72-bf0d-b03ef684d4c4,Клиент 65,2010-12-22,Москва
29976bd7-d71a-43a6-9404-f3b5e920d76e,Клиент 66,1979-10-12,Омск
c29608d0-f5a8-40a9-8caa-1df5d74aabe5,Клиент 67,1986-06-17,Новосибирск
3a63dc54-4171-44df-b611-05fc6835799e,Клиент 68,2004-11-14,Москва
e960b580-dfab-4ade-8775-573f51141494,Клиент 69,1997-11-22,Новосибирск
44fa35b5-c799-463e-bcb4-a460ae4c3290,Клиент 70,1989-09-15,Омск
50eae8f1-6a18-42d7-b04e-7e1fc5ba2e20,Клиент 71,1995-09-25,Москва
984b1240-267a-44c1-b8cd-d430a7c75b01,Клиент 72,1997-04-23,Новосибирск
384f440d-bd59-4c27-8e2a-0bad07d0a670,Клиент 73,1952-04-02,Омск
d4fe3772-7d19-40a0-a868-ee003cceeaf4,Клиент 74,1973-01-03,Новосибирск
4201afc1-0ca8-4454-9926-fe79109af705,Клиент 75,1979-04-18,Новосибирск
b1113844-4bb7-4866-8917-794fa4d2fbcf,Клиент 76,1991-12-14,Новосибирск
cad18e62-8520-4e08-99d9-73aa46dcf71a,Клиент 77,1975-05-07,Москва
1b6bce7c-8a6d-474d-853c-dcdc73191cce,Клиент 78,1995-01-05,Санкт-Петербург
083b6b64-cfd1-4e6d-b8c9-cfc2b2899da5,Клиент 79,1950-07-24,Рязань
206e5437-09af-4235-aa67-85003a57f2f2,Клиент 80,1977-12-02,Рязань
40b78282-b558-486c-b0d3-0d6ff84dc360,Клиент 81,1999-03-22,Москва
32e1dae0-1c94-467c-8100-cf614abaa656,Клиент 82,1990-08-20,Санкт-Петербург
