order_number,client_id,price,date,name,birthday,city,discount_rate,year
A000,815fbf47-4a93-4bd1-8165-4d59a9945990,568,2022-08-30,Клиент 50,1995-01-25,Новосибирск,28,2022
A001,62612b69-051a-4e9c-9570-5b0aea82bb2d,745,2022-03-07,Клиент 64,1959-03-29,Новосибирск,28,2022
A002,7d794c88-a26e-42a4-95ce-96868208d95a,349,2022-01-27,Клиент 32,1957-05-23,Омск,41,2022
A003,1cbd1897-fb4d-42b4-be34-42340bacdd12,249,2022-10-07,Клиент 99,1977-04-08,Санкт-Петербург,37,2022
A004,b5d19d0e-b107-44bf-885f-9161dff0d01a,549,2022-02-23,Клиент 58,1987-01-12,Москва,36,2022
A005,f308f5d4-98c6-4786-9463-8991e21faed4,976,2022-12-07,Клиент 98,1980-05-21,Санкт-Петербург,37,2022
A006,4201afc1-0ca8-4454-9926-fe79109af705,193,2022-04-05,Клиент 75,1979-04-18,Новосибирск,28,2022
A007,575eab93-45c1-4327-b57b-ad359da78ac5,206,2022-01-19,Клиент 55,1959-10-09,Рязань,30,2022
A008,7ac66cf7-d489-45a7-bf92-2d8d0eccf9cf,616,2022-11-26,Клиент 39,1961-05-21,Санкт-Петербург,37,2022
A009,b88d78ab-90f2-4401-bd9d-6f57a8eca5c3,166,2022-02-03,Клиент 19,1976-03-08,Москва,36,2022
A010,3f5d2ddb-394a-4dc0-8ee6-6fd757084638,192,2022-09-05,Клиент 35,2007-09-06,Омск,41,2022
A011,f308f5d4-98c6-4786-9463-8991e21faed4,628,2022-01-02,Клиент 98,1980-05-21,Санкт-Петербург,37,2022
A012,86f52483-c6ca-4832-9adb-d838c21bf8ca,995,2022-01-16,Клиент 46,2010-06-20,Омск,41,2022
A013,b589fbac-5841-4a78-a8c0-d70dc041200d,730,2022-10-26,Клиент 44,2005-08-18,Рязань,30,2022
A014,3f95cb87-c246-42eb-98d8-c398e4d07a62,250,2022-07-14,Клиент 21,1972-05-12,Новосибирск,28,2022
A015,3a63dc54-4171-44df-b611-05fc6835799e,68,2022-06-04,Клиент 68,2004-11-14,Москва,36,2022
A016,5d45cdf1-4e3b-443b-8495-ca498ed8bc3c,862,2022-12-08,Клиент 17,2003-07-24,Омск,41,2022
A017,b88d78ab-90f2-4401-bd9d-6f57a8eca5c3,226,2022-03-27,Клиент 19,1976-03-08,Москва,36,2022
A018,7d794c88-a26e-42a4-95ce-96868208d95a,384,2022-11-19,Клиент 32,1957-05-23,Омск,41,2022
A019,d84c1eb1-f5e9-41c8-9c8d-4d27c137721c,908,2022-07-19,Клиент 63,1985-04-08,Новосибирск,28,2022
A020,8980b13b-efe6-42ed-9fc8-53a7ab626a91,52,2022-03-02,Клиент 86,1980-01-13,Москва,36,2022
A021,216d9c79-b849-4826-ba8f-9711ba0fcefa,344,2022-03-28,Клиент 31,1955-06-22,Рязань,30,2022
A022,77ba80e0-24ae-4de7-9e35-39c34f58dbaa,380,2022-07-07,Клиент 3,1984-11-10,Москва,36,2022
A023,0fb7f7c5-d239-429b-b402-1bec6aa72b2d,290,2022-07-23,Клиент 5,2009-09-19,Москва,36,2022
A024,6e9f3596-24ff-424c-bd77-82d8a9aa0ddc,462,2022-05-26,Клиент 38,1952-01-25,Санкт-Петербург,37,2022
A025,815fbf47-4a93-4bd1-8165-4d59a9945990,770,2022-06-21,Клиент 50,1995-01-25,Новосибирск,28,2022
A026,474ffbab-5bed-4667-951c-c7d09e1b0acf,753,2022-03-04,Клиент 57,1986-12-20,Новосибирск,28,2022
A027,950e0357-06da-4291-83ac-1884b17567cb,750,2022-06-05,Клиент 97,1959-03-25,Москва,36,2022
A028,c29608d0-f5a8-40a9-8caa-1df5d74aabe5,856,2022-06-12,Клиент 67,1986-06-17,Новосибирск,28,2022
A029,cad18e62-8520-4e08-99d9-73aa46dcf71a,418,2022-04-02,Клиент 77,1975-05-07,Москва,36,2022
A030,474ffbab-5bed-4667-951c-c7d09e1b0acf,620,2022-04-13,Клиент 57,1986-12-20,Новосибирск,28,2022
A031,984b1240-267a-44c1-b8cd-d430a7c75b01,934,2022-07-08,Клиент 72,1997-04-23,Новосибирск,28,2022
A032,f308f5d4-98c6-4786-9463-8991e21faed4,124,2022-04-30,Клиент 98,1980-05-21,Санкт-Петербург,37,2022
A033,0fb7f7c5-d239-429b-b402-1bec6aa72b2d,983,2022-10-04,Клиент 5,2009-09-19,Москва,36,2022
A034,1751f1a2-7c0f-40d1-ac31-31e49122f7be,762,2022-02-02,Клиент 91,1951-03-03,Рязань,30,2022
A035,7ff29597-ea8a-4d1e-b775-4f459e2f2ad9,681,2022-11-04,Клиент 47,1960-03-08,Рязань,30,2022
